Name	MainMuscleGroups
close grip dumbbell press	triceps
deadlifts	back
dumbbell flys	chest
dumbbell rows	back
flat chest dumbbells	chest
hammer curls	biceps
hanging leg raise	abs
hip abductor	abductors
incline chest dumbbells	chest
leg extensions	quads
leg press	quads,hamstrings,calves
lying leg curls	hamstrings
preacher curls	biceps
pull downs	back
pull-ups	back
seated leg curls	hamstrings
shoulder press	shoulders
shrugs	traps
skull crushers	triceps
squats	quads,hamstrings,calves
tricep push downs	triceps
v-bar pull downs	back